model,file,precision,recall,F1_score
<<<<<<< HEAD
nltk,"opinion-G16-(Taylor v. Sturgell, 553 U.S. 880).txt",0.7346938775510204,0.8876712328767123,0.8039702233250621
nltk,ROSENBLATT v. BAER_MCL.txt,0.680327868852459,0.83,0.7477477477477475
nltk,opinion-G16-(Florida Power _ Light Co. v. Electric.txt,0.4148936170212766,0.6141732283464567,0.49523809523809514
nltk,"opinion-G16-(Sanford v. Kepner, 344 U.S. 13).html.txt",0.625,0.9090909090909091,0.7407407407407406
nltk,Baldwin_v_Reese_retagged.txt,0.9012345679012346,0.9125,0.9068322981366459
=======
nltk,Baldwin_v_Reese_retagged.txt,0.9012345679012346,0.9125,0.9068322981366459
nltk,California v. Greenwood_retagged.txt,0.689922480620155,0.717741935483871,0.7035573122529645
>>>>>>> 5460cc5317b76268022cb3309781fa8c62e58e79
nltk,Sandoz Inc. v. Amgen Inc_MCL.txt,0.7947761194029851,0.8801652892561983,0.8352941176470589
nltk,"opinion-G16-(Sanford v. Kepner, 344 U.S. 13).html.txt",0.625,0.9090909090909091,0.7407407407407406
nltk,"opinion-G16-(Jenkins v. Georgia, 418 U.S. 153).htm.txt",0.6022727272727273,0.8153846153846154,0.6928104575163399
nltk,"opinion-G16-(California v. Superior Court of Cal.,.txt",0.6094674556213018,0.8373983739837398,0.7054794520547946
<<<<<<< HEAD
nltk,California v. Greenwood_retagged.txt,0.689922480620155,0.717741935483871,0.7035573122529645
nltk,Commissioner v. Groetzinger_MCL_retagged.txt,0.6808510638297872,0.8366013071895425,0.7507331378299119
nltk,opinion-G16-(United States v. Mississippi Chemical.txt,0.7228915662650602,0.8759124087591241,0.7920792079207922
nltk,"opinion-G16-(Shapiro v. McManus, 136 S. Ct. 450).h.txt",0.5614035087719298,0.7191011235955056,0.6305418719211823
=======
nltk,opinion-G16-(United States v. Mississippi Chemical.txt,0.7228915662650602,0.8759124087591241,0.7920792079207922
nltk,ROSENBLATT v. BAER_MCL.txt,0.680327868852459,0.83,0.7477477477477475
nltk,opinion-G16-(Florida Power _ Light Co. v. Electric.txt,0.4148936170212766,0.6141732283464567,0.49523809523809514
nltk,"opinion-G16-(Shapiro v. McManus, 136 S. Ct. 450).h.txt",0.5614035087719298,0.7191011235955056,0.6305418719211823
nltk,"opinion-G16-(Taylor v. Sturgell, 553 U.S. 880).txt",0.7346938775510204,0.8876712328767123,0.8039702233250621
nltk,Commissioner v. Groetzinger_MCL_retagged.txt,0.6808510638297872,0.8366013071895425,0.7507331378299119
>>>>>>> 5460cc5317b76268022cb3309781fa8c62e58e79
